sender,sender_type,sender_id,timestamp,meta,"",age,applies,consent,response,correctResponse,correct,duration,educational_level,ended_on,example_1,example_2,fb_attention,fb_confidence,fb_difficulty,fb_strategy_text,fb_strategy_used,gender,occupation,response_action,task_id,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Inference Sequence,flow.Sequence,6_2_1_0,2025-11-07T07:42:26.777Z,,,,y,,,,,143.5999999985106,,completion,occlusion_reversal.t3.combined.png,occlusion_reversal.t4.combined.png,,,,,,,,,11,22980.79999999702,22979.89999999851,22824.1,22828.79999999702,22836.3,22984.6,
Inference Decision,html.Page,6_2_1_1_0,2025-11-07T07:42:26.915Z,,,,y,,y,y,true,133.40000000000146,,response,occlusion_reversal.t5.combined.png,occlusion_reversal.t6.combined.png,,,,,,,,keypress(j),12,23118.60000000149,23118,22978.8,22980.89999999851,22984.6,23121.7,
Confidence Check,html.Page,6_2_1_1_1,2025-11-07T07:42:26.929Z,,,,y,,f,,,9.900000001489389,,response,occlusion_reversal.t5.combined.png,occlusion_reversal.t6.combined.png,,,,,,,,keypress(f),12,23132,23131.60000000149,23115.6,23118.69999999553,23121.7,23133.2,
Inference Sequence,flow.Sequence,6_2_1_1,2025-11-07T07:42:26.929Z,,,,y,,,,,147.00000000149157,,completion,occlusion_reversal.t5.combined.png,occlusion_reversal.t6.combined.png,,,,,,,,,12,23132.10000000149,23131.60000000149,22978.8,22980.89999999851,22984.6,23133.2,
Inference Decision,html.Page,6_2_1_2_0,2025-11-07T07:42:27.165Z,,,,n,,y,n,false,234.59999999701904,,response,occlusion_transform.t7.combined.png,occlusion_transform.t8.combined.png,,,,,,,,keypress(j),13,23368,23367.79999999702,23127.2,23132.29999999702,23133.2,23372.9,
Confidence Check,html.Page,6_2_1_2_1,2025-11-07T07:42:27.182Z,,,,n,,f,,,11.999999998508429,,response,occlusion_transform.t7.combined.png,occlusion_transform.t8.combined.png,,,,,,,,keypress(f),13,23385.10000000149,23384.89999999851,23367.1,23368,23372.9,23395.9,
Inference Sequence,flow.Sequence,6_2_1_2,2025-11-07T07:42:27.182Z,,,,n,,,,,251.69999999850916,,completion,occlusion_transform.t7.combined.png,occlusion_transform.t8.combined.png,,,,,,,,,13,23385.19999999553,23384.89999999851,23127.2,23132.29999999702,23133.2,23395.9,
Inference Decision,html.Page,6_2_1_3_0,2025-11-07T07:42:27.419Z,,,,n,,y,n,false,225.70000000148866,,response,occlusion_transform.t2.combined.png,occlusion_transform.t13.combined.png,,,,,,,,keypress(j),14,23622.19999999553,23621.60000000149,23390.1,23385.19999999553,23395.9,23624.7,
Confidence Check,html.Page,6_2_1_3_1,2025-11-07T07:42:27.443Z,,,,n,,f,,,21.299999999999272,,response,occlusion_transform.t2.combined.png,occlusion_transform.t13.combined.png,,,,,,,,keypress(f),14,23646.39999999851,23646,23618.892,23622.39999999851,23624.7,23658.6,
Inference Sequence,flow.Sequence,6_2_1_3,2025-11-07T07:42:27.443Z,,,,n,,,,,250.09999999999854,,completion,occlusion_transform.t2.combined.png,occlusion_transform.t13.combined.png,,,,,,,,,14,23646.69999999553,23646,23390.1,23385.19999999553,23395.9,23658.6,
Inference Decision,html.Page,6_2_1_4_0,2025-11-07T07:42:27.670Z,,,,n,,y,n,false,214.50000000149157,,response,occlusion_reversal.t7.combined.png,occlusion_reversal.t8.combined.png,,,,,,,,keypress(j),15,23873.60000000149,23873.10000000149,23654.1,23646.69999999553,23658.6,23876.3,
Confidence Check,html.Page,6_2_1_4_1,2025-11-07T07:42:27.695Z,,,,n,,f,,,21.89999999553038,,response,occlusion_reversal.t7.combined.png,occlusion_reversal.t8.combined.png,,,,,,,,keypress(f),15,23898.79999999702,23898.19999999553,23870.1,23873.79999999702,23876.3,23904.8,
Inference Sequence,flow.Sequence,6_2_1_4,2025-11-07T07:42:27.696Z,,,,n,,,,,239.5999999955311,,completion,occlusion_reversal.t7.combined.png,occlusion_reversal.t8.combined.png,,,,,,,,,15,23899.79999999702,23898.19999999553,23654.1,23646.69999999553,23658.6,23904.8,
Inference Block,flow.Loop,6_2_1,2025-11-07T07:42:27.696Z,,,,,,,,,1061.8999999955304,,completion,,,,,,,,,,,,23900,23898.19999999553,22824.1,22828.79999999702,22836.3,23904.8,
Rule Reminder,html.Page,6_2_2,2025-11-07T07:42:27.960Z,,,,,,f,,false,257.5999999985106,,response,,,,,,,,,,keypress(f),,24163,24162.39999999851,23898.9,23900.10000000149,23904.8,24167.7,
Application Decision,html.Page,6_2_3_0_0,2025-11-07T07:42:28.215Z,,,,y,,y,y,true,250.09999999701904,,response,occlusion_reversal.t13.combined.png,occlusion_reversal.t14.combined.png,,,,,,,,keypress(j),20,24418.29999999702,24417.79999999702,24161.9,24163.19999999553,24167.7,24424.9,
Confidence Check,html.Page,6_2_3_0_1,2025-11-07T07:42:28.236Z,,,,y,,f,,,14.700000001488661,,response,occlusion_reversal.t13.combined.png,occlusion_reversal.t14.combined.png,,,,,,,,keypress(f),20,24440,24439.60000000149,24417.69,24418.39999999851,24424.9,24447.7,
Application Sequence,flow.Sequence,6_2_3_0,2025-11-07T07:42:28.237Z,,,,y,,,,,271.9000000014894,,completion,occlusion_reversal.t13.combined.png,occlusion_reversal.t14.combined.png,,,,,,,,,20,24440.10000000149,24439.60000000149,24161.9,24163.19999999553,24167.7,24447.7,
Application Decision,html.Page,6_2_3_1_0,2025-11-07T07:42:28.480Z,,,,y,,y,y,true,235.19999999850916,,response,occlusion_reversal.t11.combined.png,occlusion_reversal.t12.combined.png,,,,,,,,keypress(j),18,24683.29999999702,24682.89999999851,24442,24440.10000000149,24447.7,24687.5,
Confidence Check,html.Page,6_2_3_1_1,2025-11-07T07:42:28.497Z,,,,y,,f,,,12.799999997019768,,response,occlusion_reversal.t11.combined.png,occlusion_reversal.t12.combined.png,,,,,,,,keypress(f),18,24700.60000000149,24700.29999999702,24682.1,24683.5,24687.5,24710.6,
Application Sequence,flow.Sequence,6_2_3_1,2025-11-07T07:42:28.497Z,,,,y,,,,,252.59999999701904,,completion,occlusion_reversal.t11.combined.png,occlusion_reversal.t12.combined.png,,,,,,,,,18,24700.79999999702,24700.29999999702,24442,24440.10000000149,24447.7,24710.6,
Application Decision,html.Page,6_2_3_2_0,2025-11-07T07:42:28.778Z,,,,n,,n,n,true,270.5999999955311,,response,occlusion_transform.t15.combined.png,occlusion_transform.t5.combined.png,,,,,,,,keypress(f),19,24981.89999999851,24981.19999999553,24704.9,24700.79999999702,24710.6,24985,
Confidence Check,html.Page,6_2_3_2_1,2025-11-07T07:42:28.780Z,,,,n,,j,,,NaN,,response,occlusion_transform.t15.combined.png,occlusion_transform.t5.combined.png,,,,,,,,keypress(j),19,24983.19999999553,24981.5,,24982.19999999553,,24985,
Application Sequence,flow.Sequence,6_2_3_2,2025-11-07T07:42:28.780Z,,,,n,,,,,270.90000000000146,,completion,occlusion_transform.t15.combined.png,occlusion_transform.t5.combined.png,,,,,,,,,19,24983.39999999851,24981.5,24704.9,24700.79999999702,24710.6,24985,
Application Decision,html.Page,6_2_3_3_0,2025-11-07T07:42:29.010Z,,,,n,,y,n,false,227.69999999552965,,response,occlusion_transform.t1.combined.png,occlusion_transform.t3.combined.png,,,,,,,,keypress(j),17,25213.29999999702,25212.69999999553,24978.9,24983.60000000149,24985,25219.1,
Confidence Check,html.Page,6_2_3_3_1,2025-11-07T07:42:29.056Z,,,,n,,f,,,40.00000000149157,,response,occlusion_transform.t1.combined.png,occlusion_transform.t3.combined.png,,,,,,,,keypress(f),17,25259.69999999553,25259.10000000149,25213.3,25213.39999999851,25219.1,25264.8,
Application Sequence,flow.Sequence,6_2_3_3,2025-11-07T07:42:29.056Z,,,,n,,,,,274.1000000014901,,completion,occlusion_transform.t1.combined.png,occlusion_transform.t3.combined.png,,,,,,,,,17,25259.89999999851,25259.10000000149,24978.9,24983.5,24985,25264.8,
Application Decision,html.Page,6_2_3_4_0,2025-11-07T07:42:29.280Z,,,,y,,y,y,true,217.70000000000073,,response,occlusion_reversal.t9.combined.png,occlusion_reversal.t10.combined.png,,,,,,,,keypress(j),16,25483.39999999851,25482.5,25259,25260,25264.8,25493.3,
Confidence Check,html.Page,6_2_3_4_1,2025-11-07T07:42:29.312Z,,,,y,,f,,,21.89999999553038,,response,occlusion_reversal.t9.combined.png,occlusion_reversal.t10.combined.png,,,,,,,,keypress(f),16,25515.79999999702,25515.19999999553,25482.2,25483.60000000149,25493.3,25522,
Application Sequence,flow.Sequence,6_2_3_4,2025-11-07T07:42:29.312Z,,,,y,,,,,250.39999999553038,,completion,occlusion_reversal.t9.combined.png,occlusion_reversal.t10.combined.png,,,,,,,,,16,25516,25515.19999999553,25259,25260,25264.8,25522,
Application Block,flow.Loop,6_2_3,2025-11-07T07:42:29.313Z,,,,,,,,,1347.499999995529,,completion,,,,,,,,,,,,25516.10000000149,25515.19999999553,24161.9,24163.10000000149,24167.7,25522,
Occlusion Sequence,flow.Sequence,6_2,2025-11-07T07:42:29.313Z,,,,,,,,,2925.099999995531,,completion,,,,,,,,,,,,25516.19999999553,25515.19999999553,22584.4,22587.60000000149,22590.1,25522,
First Example,html.Page,6_3_0,2025-11-07T07:42:29.621Z,,,,,,f,,,302.19999999552965,,response,,,,,,,,,,keypress(f),,25824.89999999851,25824.19999999553,25516.5,25516.29999999702,25522,25830.9,
Inference Decision,html.Page,6_3_1_0_0,2025-11-07T07:42:29.820Z,,,,y,,y,y,true,191.49999999850843,,response,arithmetic_majority_recolor.t5.combined.png,arithmetic_majority_recolor.t8.combined.png,,,,,,,,keypress(j),30,26023.10000000149,26022.39999999851,25825,25825.10000000149,25830.9,26031,
Confidence Check,html.Page,6_3_1_0_1,2025-11-07T07:42:29.844Z,,,,y,,f,,,15.899999998509884,,response,arithmetic_majority_recolor.t5.combined.png,arithmetic_majority_recolor.t8.combined.png,,,,,,,,keypress(f),30,26047.39999999851,26046.89999999851,26019.1,26023.29999999702,26031,26053.4,
Inference Sequence,flow.Sequence,6_3_1_0,2025-11-07T07:42:29.844Z,,,,y,,,,,215.99999999850843,,completion,arithmetic_majority_recolor.t5.combined.png,arithmetic_majority_recolor.t8.combined.png,,,,,,,,,30,26047.5,26046.89999999851,25825,25825.10000000149,25830.9,26053.4,
Inference Decision,html.Page,6_3_1_1_0,2025-11-07T07:42:30.072Z,,,,n,,y,n,false,220.8999999970183,,response,arithmetic_parity_recolor.t3.combined.png,arithmetic_parity_recolor.t8.combined.png,,,,,,,,keypress(j),31,26275,26274.29999999702,26047.8,26047.60000000149,26053.4,26284.2,
Confidence Check,html.Page,6_3_1_1_1,2025-11-07T07:42:30.107Z,,,,n,,f,,,25.90000000148939,,response,arithmetic_parity_recolor.t3.combined.png,arithmetic_parity_recolor.t8.combined.png,,,,,,,,keypress(f),31,26310.79999999702,26310.10000000149,26270.8,26275.19999999553,26284.2,26316.4,
Inference Sequence,flow.Sequence,6_3_1_1,2025-11-07T07:42:30.107Z,,,,n,,,,,256.70000000148866,,completion,arithmetic_parity_recolor.t3.combined.png,arithmetic_parity_recolor.t8.combined.png,,,,,,,,,31,26311,26310.10000000149,26047.8,26047.60000000149,26053.4,26316.4,
Inference Decision,html.Page,6_3_1_2_0,2025-11-07T07:42:30.351Z,,,,y,,y,y,true,238.09999999999854,,response,arithmetic_parity_recolor.t2.combined.png,arithmetic_parity_recolor.t4.combined.png,,,,,,,,keypress(j),32,26554.79999999702,26554.5,26310.6,26311.10000000149,26316.4,26556.8,
Confidence Check,html.Page,6_3_1_2_1,2025-11-07T07:42:30.368Z,,,,y,,f,,,14.39999999553038,,response,arithmetic_parity_recolor.t2.combined.png,arithmetic_parity_recolor.t4.combined.png,,,,,,,,keypress(f),32,26571.39999999851,26571.19999999553,26550.7,26554.79999999702,26556.8,26579.3,
Inference Sequence,flow.Sequence,6_3_1_2,2025-11-07T07:42:30.368Z,,,,y,,,,,254.7999999955282,,completion,arithmetic_parity_recolor.t2.combined.png,arithmetic_parity_recolor.t4.combined.png,,,,,,,,,32,26571.5,26571.19999999553,26310.6,26311.10000000149,26316.4,26579.3,
Inference Decision,html.Page,6_3_1_3_0,2025-11-07T07:42:30.620Z,,,,y,,n,y,false,242.80000000149084,,response,arithmetic_parity_recolor.t5.combined.png,arithmetic_parity_recolor.t9.combined.png,,,,,,,,keypress(f),33,26823.10000000149,26822.10000000149,26573.6,26571.5,26579.3,26825.2,
Confidence Check,html.Page,6_3_1_3_1,2025-11-07T07:42:30.621Z,,,,y,,j,,,NaN,,response,arithmetic_parity_recolor.t5.combined.png,arithmetic_parity_recolor.t9.combined.png,,,,,,,,keypress(j),33,26824,26822.5,,26823.10000000149,,26825.2,
Inference Sequence,flow.Sequence,6_3_1_3,2025-11-07T07:42:30.621Z,,,,y,,,,,243.20000000000073,,completion,arithmetic_parity_recolor.t5.combined.png,arithmetic_parity_recolor.t9.combined.png,,,,,,,,,33,26824.19999999553,26822.5,26573.6,26571.5,26579.3,26825.2,
Inference Decision,html.Page,6_3_1_4_0,2025-11-07T07:42:30.888Z,,,,n,,n,n,true,265.7999999999993,,response,arithmetic_inversion_recolor.t7.combined.png,arithmetic_inversion_recolor.t8.combined.png,,,,,,,,keypress(f),34,27091.69999999553,27091,26819.4,26824.29999999702,26825.2,27094.1,
Confidence Check,html.Page,6_3_1_4_1,2025-11-07T07:42:30.896Z,,,,n,,j,,,5.400000000001455,,response,arithmetic_inversion_recolor.t7.combined.png,arithmetic_inversion_recolor.t8.combined.png,,,,,,,,keypress(j),34,27099.79999999702,27099.5,27088.2,27091.89999999851,27094.1,27105.1,
Inference Sequence,flow.Sequence,6_3_1_4,2025-11-07T07:42:30.896Z,,,,n,,,,,274.2999999999993,,completion,arithmetic_inversion_recolor.t7.combined.png,arithmetic_inversion_recolor.t8.combined.png,,,,,,,,,34,27099.89999999851,27099.5,26819.4,26824.29999999702,26825.2,27105.1,
Inference Block,flow.Loop,6_3_1,2025-11-07T07:42:30.896Z,,,,,,,,,1268.5999999999985,,completion,,,,,,,,,,,,27100,27099.5,25825,25825.10000000149,25830.9,27105.1,
Rule Reminder,html.Page,6_3_2,2025-11-07T07:42:31.157Z,,,,,,f,,false,255.00000000149157,,response,,,,,,,,,,keypress(f),,27360.29999999702,27360.10000000149,27099.4,27100,27105.1,27362.5,
Application Decision,html.Page,6_3_3_0_0,2025-11-07T07:42:31.173Z,,,,n,,y,n,false,13.5,,response,arithmetic_minority_recolor.t1.combined.png,arithmetic_minority_recolor.t2.combined.png,,,,,,,,keypress(j),35,27376.19999999553,27376,27356.7,27360.29999999702,27362.5,27379.4,
Confidence Check,html.Page,6_3_3_0_1,2025-11-07T07:42:31.288Z,,,,n,,d,,,111.2999999955282,,response,arithmetic_minority_recolor.t1.combined.png,arithmetic_minority_recolor.t2.combined.png,,,,,,,,keypress(d),35,27491.29999999702,27490.69999999553,27373.8,27376.19999999553,27379.4,27494.1,
Application Sequence,flow.Sequence,6_3_3_0,2025-11-07T07:42:31.288Z,,,,n,,,,,128.19999999552965,,completion,arithmetic_minority_recolor.t1.combined.png,arithmetic_minority_recolor.t2.combined.png,,,,,,,,,35,27491.5,27490.69999999553,27356.7,27360.29999999702,27362.5,27494.1,
Application Decision,html.Page,6_3_3_1_0,2025-11-07T07:42:31.426Z,,,,y,,n,y,false,135.40000000000146,,response,arithmetic_majority_recolor.t6.combined.png,arithmetic_majority_recolor.t9.combined.png,,,,,,,,keypress(f),38,27629.89999999851,27629.5,27488.2,27491.60000000149,27494.1,27637.5,
Confidence Check,html.Page,6_3_3_1_1,2025-11-07T07:42:31.443Z,,,,y,,j,,,8.399999998509884,,response,arithmetic_majority_recolor.t6.combined.png,arithmetic_majority_recolor.t9.combined.png,,,,,,,,keypress(j),38,27646.19999999553,27645.89999999851,27625.2,27629.89999999851,27637.5,27648.1,
Application Sequence,flow.Sequence,6_3_3_1,2025-11-07T07:42:31.443Z,,,,y,,,,,151.79999999851134,,completion,arithmetic_majority_recolor.t6.combined.png,arithmetic_majority_recolor.t9.combined.png,,,,,,,,,38,27646.19999999553,27645.89999999851,27488.2,27491.60000000149,27494.1,27648.1,
Application Decision,html.Page,6_3_3_2_0,2025-11-07T07:42:31.690Z,,,,n,,y,n,false,245.0999999955311,,response,arithmetic_inversion_recolor.t1.combined.png,arithmetic_inversion_recolor.t2.combined.png,,,,,,,,keypress(j),39,27894,27893.19999999553,27642.3,27646.19999999553,27648.1,27899.7,
Confidence Check,html.Page,6_3_3_2_1,2025-11-07T07:42:31.704Z,,,,n,,f,,,7.299999999999272,,response,arithmetic_inversion_recolor.t1.combined.png,arithmetic_inversion_recolor.t2.combined.png,,,,,,,,keypress(f),39,27907.39999999851,27907,27893.8,27894.10000000149,27899.7,27911,
Application Sequence,flow.Sequence,6_3_3_2,2025-11-07T07:42:31.704Z,,,,n,,,,,258.90000000000146,,completion,arithmetic_inversion_recolor.t1.combined.png,arithmetic_inversion_recolor.t2.combined.png,,,,,,,,,39,27907.5,27907,27642.3,27646.19999999553,27648.1,27911,
Application Decision,html.Page,6_3_3_3_0,2025-11-07T07:42:31.951Z,,,,y,,y,y,true,242.19999999552965,,response,arithmetic_majority_recolor.t1.combined.png,arithmetic_majority_recolor.t4.combined.png,,,,,,,,keypress(j),37,28154,28153.19999999553,27905.4,27907.5,27911,28157.1,
Confidence Check,html.Page,6_3_3_3_1,2025-11-07T07:42:31.975Z,,,,y,,f,,,20.900000000001455,,response,arithmetic_majority_recolor.t1.combined.png,arithmetic_majority_recolor.t4.combined.png,,,,,,,,keypress(f),37,28178.29999999702,28178,28151,28154.19999999553,28157.1,28179.9,
Application Sequence,flow.Sequence,6_3_3_3,2025-11-07T07:42:31.975Z,,,,y,,,,,267,,completion,arithmetic_majority_recolor.t1.combined.png,arithmetic_majority_recolor.t4.combined.png,,,,,,,,,37,28178.39999999851,28178,27905.4,27907.5,27911,28179.9,
Application Decision,html.Page,6_3_3_4_0,2025-11-07T07:42:32.232Z,,,,y,,y,y,true,254.49999999850843,,response,arithmetic_majority_recolor.t11.combined.png,arithmetic_majority_recolor.t12.combined.png,,,,,,,,keypress(j),36,28435.10000000149,28434.39999999851,28174,28178.39999999851,28179.9,28437.1,
Confidence Check,html.Page,6_3_3_4_1,2025-11-07T07:42:32.256Z,,,,y,,f,,,21.699999997021223,,response,arithmetic_majority_recolor.t11.combined.png,arithmetic_majority_recolor.t12.combined.png,,,,,,,,keypress(f),36,28459.29999999702,28458.79999999702,28431.1,28435.19999999553,28437.1,28465.7,
Application Sequence,flow.Sequence,6_3_3_4,2025-11-07T07:42:32.256Z,,,,y,,,,,278.8999999970183,,completion,arithmetic_majority_recolor.t11.combined.png,arithmetic_majority_recolor.t12.combined.png,,,,,,,,,36,28459.5,28458.79999999702,28174,28178.39999999851,28179.9,28465.7,
Application Block,flow.Loop,6_3_3,2025-11-07T07:42:32.256Z,,,,,,,,,1096.2999999970198,,completion,,,,,,,,,,,,28459.5,28458.79999999702,27356.7,27360.29999999702,27362.5,28465.7,
Arithmetic Sequence,flow.Sequence,6_3,2025-11-07T07:42:32.256Z,,,,,,,,,2936.7999999970198,,completion,,,,,,,,,,,,28459.5,28458.79999999702,25516.5,25516.29999999702,25522,28465.7,
Experiment,flow.Sequence,6,2025-11-07T07:42:32.256Z,,,,,,,,,12453.19999999702,,completion,,,,,,,,,,,,28459.69999999553,28458.79999999702,15999.9,15995.29999999702,16005.6,28465.7,
Feedback,html.Form,7,2025-11-07T07:42:41.816Z,,,,,,,,,9553.69999999851,,form submission,,,0,1,5,random button pressing,1,,,,,38019.5,38019.39999999851,28459.7,28459.69999999553,28465.7,38021.7,
Thanks,html.Form,8,2025-11-07T07:42:42.829Z,,,,,,,,,1011.0999999970227,,form submission,,,,,,,,,,,,39032.89999999851,39032.79999999702,38016,38019.60000000149,38021.7,39039.6,
root,flow.Sequence,,2025-11-07T07:42:42.830Z,,,,,,,,,38927.59999999702,,completion,,,,,,,,,,,,39033.10000000149,39032.79999999702,99.4,100.89999999850988,105.2,39039.6,
